Disease,Severity_Score
"Stroke, long-term consequences, moderate; Dementia, mild; Generic uncomplicated disease: worry and daily medication",0.176375812278652
"Stroke, long-term consequences, moderate; Dementia, moderate; Generic uncomplicated disease: worry and daily medication",0.448128365022547
"Stroke, long-term consequences, moderate; Dementia, moderate; Heart failure, mild",0.443823943401359
"Stroke, long-term consequences, moderate; Dementia, moderate; Heart failure, moderate",0.460962380106009
"Stroke, long-term consequences, moderate; Dementia, moderate; Heart failure, severe",0.52182174373328
"Stroke, long-term consequences, mild; Dementia, moderate",0.42002428310105
"Stroke, long-term consequences, severe; Dementia, moderate; Generic uncomplicated disease: worry and daily medication",0.729246184302578
"Stroke, long-term consequences, severe; Dementia, moderate; Heart failure, mild",0.727182113017402
"Stroke, long-term consequences, severe; Dementia, moderate; Heart failure, moderate",0.735349435498134
"Stroke, long-term consequences, severe; Dementia, moderate; Heart failure, severe",0.764161682393678
"Stroke, long-term consequences, moderate; Dementia, severe; Generic uncomplicated disease: worry and daily medication",0.511527238955912
"Stroke, long-term consequences, moderate; Dementia, severe; Heart failure, mild",0.50772973658846
"Stroke, long-term consequences, moderate; Dementia, severe; Heart failure, moderate",0.522832534382816
"Stroke, long-term consequences, moderate; Dementia, severe; Heart failure, severe",0.57637141722338
"Stroke, long-term consequences, mild; Dementia, severe",0.486667465160859
"Stroke, long-term consequences, severe; Dementia, severe; Generic uncomplicated disease: worry and daily medication",0.759066357083376
"Stroke, long-term consequences, severe; Dementia, severe; Heart failure, mild",0.757235318404353
"Stroke, long-term consequences, severe; Dementia, severe; Heart failure, moderate",0.764472469870301
"Stroke, long-term consequences, severe; Dementia, severe; Heart failure, severe",0.789959120912538
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and Dementia, mild",0.27245404859638
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and Dementia, moderate",0.510711580257988
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and COPD and other chronic respiratory problems, mild",0.233890841246122
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and COPD and other chronic respiratory problems, moderate",0.393121904011385
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and COPD and other chronic respiratory problems, severe",0.534750427260105
"COPD and other chronic respiratory problems, mild and Dementia, mild",0.0870649812550049
"COPD and other chronic respiratory problems, mild and Dementia, moderate",0.388936168408723
"COPD and other chronic respiratory problems, moderate and Dementia, mild",0.278351157122266
"COPD and other chronic respiratory problems, moderate and Dementia, moderate",0.514652673834047
"COPD and other chronic respiratory problems, severe and Dementia, mild",0.448282081863597
"COPD and other chronic respiratory problems, severe and Dementia, moderate",0.626536070464436
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and COPD and other chronic respiratory problems, mild and Dementia, mild",0.286419643845354
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and COPD and other chronic respiratory problems, mild and Dementia, moderate",0.520138966596817
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and COPD and other chronic respiratory problems, moderate and Dementia, mild",0.434468465601315
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and COPD and other chronic respiratory problems, moderate and Dementia, moderate",0.617919112678108
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and COPD and other chronic respiratory problems, severe and Dementia, mild",0.566282769835118
"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia) and COPD and other chronic respiratory problems, severe and Dementia, moderate",0.705115872640622
Intensive care unit admission,0.7433597016
"Amputation of both upper limbs (long term, with treatment)",0.123
"Amputation of both upper limbs (long term, without treatment)",0.383
"Amputation of one upper limb (long-term, with treatment)",0.039
"Amputation of one upper limb (long-term, without treatment)",0.118
"Amputation of finger(s), excluding thumb (long term, with or without treatment)",0.005
"Amputation of both lower limbs (long term, with treatment)",0.088
"Amputation of both lower limbs (long term, without treatment)",0.443
"Amputation of one lower limb (long term, with treatment)",0.039
"Amputation of one lower limb (long term, without treatment)",0.173
Amputation of thumb (long term),0.011
"Amputation of toe (long-term, with or without treatment)",0.006
Lower airway burns (with or without treatment),0.376
"Burns, <20% total burned surface area or <10% total burned surface area if head/neck or hands/wrist involved (long term, with or without treatment)",0.016
"Burns, <20% total burned surface area without lower airway burns (short term, with or without treatment)",0.141
"Burns, ≥20% total burned surface area or ≥10% total burned surface area if head/neck or hands/wrist involved (long term, with treatment)",0.135
"Burns, ≥20% total burned surface area or ≥10% total burned surface area if head/neck or hands/wrist involved (long term, without treatment)",0.455
"Burns, ≥20% total burned surface area (short term, with or without treatment)",0.314
Dislocation of hip (with or without treatment),0.016
Dislocation of knee (with or without treatment),0.113
Dislocation of shoulder (with or without treatment),0.062
"Drowning and nonfatal submersion (short or long term, with or without treatment)",0.247
"Fracture of clavicle, scapula or humerus (short or long term, with or without treatment)",0.035
"Fracture of face bone (short or long term, with or without treatment)",0.067
"Fracture of neck of femur (long term, with treatment)",0.058
"Fracture of neck of femur (long term, without treatment)",0.402
"Fracture of neck of femur (short term, with or without treatment)",0.258
"Fracture of femur, other than femoral neck (long term, with or without treatment)",0.042
"Fracture of femur, other than femoral neck (short term, with or without treatment)",0.111
"Fracture of foot bones (long term, without treatment)",0.026
"Fracture of foot bones (short term, with or without treatment)",0.026
"Fracture of radius or ulna (long term, without treatment)",0.043
"Fracture of radius or ulna (short term, with or without treatment)",0.028
"Fracture of hand (long term, without treatment)",0.014
"Fracture of hand (short term, with or without treatment)",0.01
"Fracture of patella, tibia or fibula or ankle (long term, with or without treatment)",0.055
"Fracture of patella, tibia or fibula or ankle (short term, with or without treatment)",0.05
"Fracture of pelvis (long term, with or without treatment)",0.182
"Fracture of pelvis (short term, with or without treatment)",0.279
"Fracture of sternum and/or fracture of one or two ribs (short or long term, with or without treatment)",0.103
"Fracture of skull (short or long term, with or without treatment)",0.071
"Fracture of vertebral column (short or long term, with or without treatment)",0.111
"Traumatic brain injury, long-term consequences, minor (with or without treatment)",0.094
"Traumatic brain injury, long-term consequences, moderate (with or without treatment)",0.231
"Traumatic brain injury, long-term consequences, severe (with or without treatment)",0.637
"Moderate/Severe traumatic brain injury (short term, with or without treatment)",0.214
"Severe chest injury (long term, with or without treatment)",0.047
"Severe chest injury (short term, with or without treatment)",0.369
Concussion,0.11
"Crush injury (short or long term, with or without treatment)",0.132
Injury to eyes (short term),0.054
"Other injuries of muscle and tendon (includes sprains, strains and dislocations other than shoulder, knee, hip)",0.008
Injured nerves (long term),0.113
Injured nerves (short term),0.1
Spinal cord lesion below neck level (untreated) ,0.623
Spinal cord lesion at neck level (treated),0.589
Spinal cord lesion at neck level (untreated) ,0.732
"Open wound (short term, with or without treatment)",0.006
Poisoning (with or without treatment),0.163
